#timestamp x y z qx qy qz qw
60.848000 3.389710 0.427462 -0.017403 -0.001235 0.001847 -0.033030 0.999452
61.848000 3.559070 0.416215 -0.017638 -0.001238 0.001844 -0.033464 0.999437
62.849000 3.728456 0.407482 -0.017869 -0.001185 0.001879 -0.005799 0.999981
64.058000 3.932445 0.417274 -0.007906 -0.002554 0.002994 0.053772 0.998546
65.061000 4.099842 0.443920 -0.018110 -0.000957 0.002000 0.104225 0.994551
66.262000 4.295393 0.497918 -0.010681 -0.002220 0.003251 0.163795 0.986487
67.662000 4.414682 0.543943 -0.011303 -0.002031 0.003371 0.216813 0.976205
73.265000 4.539724 0.602290 -0.024064 -0.000724 0.002101 0.216886 0.976195
75.678000 4.653891 0.656114 -0.024219 -0.000729 0.002100 0.221280 0.975208
77.878000 4.792541 0.722572 -0.024409 -0.000728 0.002101 0.221723 0.975107
80.085000 4.931374 0.789341 -0.024031 -0.000725 0.002100 0.222770 0.974869
82.085000 5.057225 0.850129 -0.024313 -0.000724 0.002100 0.223524 0.974696
84.285000 5.195430 0.917191 -0.024573 -0.000720 0.002101 0.224431 0.974487
86.285000 5.321005 0.978372 -0.018836 -0.001999 0.003389 0.225121 0.974323
88.288000 5.446787 1.039887 -0.024575 -0.000705 0.002102 0.225779 0.974176
90.688000 5.597209 1.113804 -0.021449 -0.002004 0.003388 0.227032 0.973879
92.888000 5.735127 1.181944 -0.022289 -0.001994 0.003393 0.227686 0.973727
94.889000 5.860103 1.243972 -0.030686 -0.000709 0.002105 0.228994 0.973425
97.291000 6.010459 1.319095 -0.030895 -0.000710 0.002106 0.229914 0.973209
99.491000 6.136734 1.400662 -0.031087 -0.000853 0.002078 0.374670 0.927155
100.501000 6.180774 1.452846 -0.030305 -0.000159 0.002216 0.466991 0.884259
101.501000 6.213467 1.512625 -0.030236 0.000062 0.002220 0.553002 0.833177
102.702000 6.235987 1.590911 -0.030093 0.000327 0.002197 0.647263 0.762264
107.903000 6.241144 1.627230 -0.027601 -0.000610 0.003888 0.568329 0.822792
108.903000 6.255616 1.655411 -0.029060 -0.000091 0.002215 0.488439 0.872595
110.103000 6.293941 1.703854 -0.028635 -0.001431 0.003667 0.380494 0.924775
111.103000 6.333966 1.736337 -0.028732 -0.001783 0.003508 0.286423 0.958095
112.103000 6.379658 1.760287 -0.033833 -0.000736 0.002089 0.190310 0.981722
115.303000 6.527523 1.816515 -0.034020 -0.000755 0.002091 0.208979 0.977918
116.303000 6.569268 1.840480 -0.034082 -0.000853 0.002089 0.305779 0.952100
117.503000 6.612050 1.879485 -0.032937 -0.000308 0.002200 0.406564 0.913620
119.712000 6.685635 1.961363 -0.033059 -0.000307 0.002200 0.407071 0.913394
121.913000 6.749441 2.047941 -0.033103 -0.000077 0.002220 0.498022 0.867162
122.913000 6.772139 2.091750 -0.032744 0.000053 0.002217 0.545374 0.838190
124.112000 6.789095 2.146538 -0.032206 0.000321 0.002194 0.641922 0.766767
125.313000 6.794220 2.205214 -0.034212 -0.000016 0.003936 0.687138 0.726516
127.517000 6.801921 2.341049 -0.034665 -0.000015 0.003935 0.686239 0.727365
129.718000 6.812584 2.521143 -0.037146 0.000442 0.002177 0.685984 0.727614
131.117000 6.819952 2.646476 -0.037069 0.000440 0.002179 0.685893 0.727699
133.319000 6.828866 2.843255 -0.036938 0.000436 0.002074 0.714163 0.699976
134.518000 6.820418 2.949970 -0.036228 0.000653 0.002124 0.754618 0.656161
136.319000 6.784033 3.106092 -0.036114 0.000839 0.002057 0.810300 0.586011
138.526000 6.709801 3.288748 -0.035859 0.000926 0.002019 0.833906 0.551902
140.926000 6.625331 3.487172 -0.035452 0.000932 0.002013 0.834353 0.551226
142.931000 6.554540 3.652750 -0.034812 0.000936 0.002010 0.834769 0.550595
144.130000 6.512008 3.751944 -0.041019 0.000884 0.003836 0.834915 0.550365
145.330000 6.469591 3.850859 -0.040972 0.000886 0.003834 0.835040 0.550175
146.538000 6.426155 3.950000 -0.040919 0.000926 0.003764 0.845909 0.533313
156.356000 5.693099 4.202737 -0.036457 0.001917 0.001125 0.999664 -0.025836
158.357000 5.513546 4.194504 -0.035188 0.001914 0.001135 0.999715 -0.023760
161.763000 5.207969 4.179480 -0.033026 0.001916 0.001125 0.999663 -0.025860
162.963000 5.100213 4.173861 -0.032263 0.001917 0.001122 0.999637 -0.026840
164.363000 4.974576 4.167045 -0.031372 0.001918 0.001119 0.999616 -0.027633
166.363000 4.795199 4.156994 -0.030101 0.001919 0.001112 0.999590 -0.028549
169.005000 4.557685 4.143120 -0.028414 0.001922 0.001106 0.999544 -0.030102
173.405000 4.163743 4.118538 -0.025614 0.001924 0.001092 0.999466 -0.032603
175.006000 4.020014 4.109062 -0.024591 0.001926 0.001089 0.999442 -0.033327
186.828000 3.076287 3.808378 -0.017274 -0.002263 0.002042 -0.799066 0.601235
