#timestamp x y z qx qy qz qw id
65.061000 4.101056 0.453886 -0.001008 -0.000170 0.001583 0.104896 0.994482 35
66.262000 4.296562 0.508156 -0.001008 -0.000264 0.001568 0.164766 0.986332 36
67.662000 4.415782 0.554428 -0.001008 -0.000348 0.001552 0.217803 0.975992 37
68.663000 4.415972 0.554517 -0.001008 -0.000348 0.001552 0.217909 0.975968 38
69.863000 4.417495 0.555233 -0.001008 -0.000348 0.001552 0.218020 0.975943 39
70.864000 4.433807 0.562902 -0.001008 -0.000349 0.001553 0.217862 0.975978 40
71.867000 4.477347 0.583303 -0.001008 -0.000348 0.001552 0.217532 0.976052 41
73.265000 4.540726 0.613039 -0.001008 -0.000348 0.001553 0.217737 0.976006 42
74.479000 4.595223 0.638749 -0.001008 -0.000349 0.001551 0.218732 0.975784 43
75.678000 4.654840 0.667026 -0.001008 -0.000355 0.001551 0.221940 0.975059 44
76.878000 4.730486 0.703359 -0.001008 -0.000355 0.001550 0.222480 0.974936 45
77.878000 4.793421 0.733679 -0.001008 -0.000356 0.001551 0.222656 0.974896 46
78.885000 4.856683 0.764212 -0.001007 -0.000357 0.001549 0.223224 0.974766 47
80.085000 4.932148 0.800718 -0.001008 -0.000358 0.001550 0.223801 0.974634 48
81.085000 4.995184 0.831289 -0.001008 -0.000358 0.001552 0.223868 0.974618 49
82.085000 5.057882 0.861771 -0.001007 -0.000358 0.001549 0.224503 0.974472 50
83.284000 5.133110 0.898422 -0.001007 -0.000360 0.001549 0.225086 0.974338 51
84.285000 5.195965 0.929109 -0.001008 -0.000359 0.001549 0.225587 0.974222 52
85.285000 5.259027 0.959988 -0.001008 -0.000361 0.001550 0.225765 0.974180 53
86.285000 5.321399 0.990584 -0.001007 -0.000361 0.001548 0.226333 0.974049 54
87.286000 5.384181 1.021437 -0.001008 -0.000363 0.001550 0.226891 0.973919 55
88.288000 5.447024 1.052408 -0.001008 -0.000363 0.001550 0.227003 0.973893 56
89.289000 5.509639 1.083323 -0.001007 -0.000363 0.001548 0.227576 0.973759 57
90.688000 5.597258 1.126696 -0.001007 -0.000364 0.001548 0.228185 0.973617 58
91.689000 5.659942 1.157794 -0.001008 -0.000364 0.001548 0.228682 0.973500 59
92.888000 5.735016 1.195150 -0.001008 -0.000366 0.001550 0.228843 0.973462 60
93.888000 5.797314 1.226222 -0.001007 -0.000366 0.001547 0.229456 0.973318 61
94.889000 5.859842 1.257463 -0.001008 -0.000368 0.001548 0.230006 0.973188 62
95.891000 5.922685 1.288936 -0.001008 -0.000368 0.001550 0.230076 0.973171 63
97.291000 6.010074 1.332817 -0.001008 -0.000369 0.001549 0.230707 0.973022 64
98.292000 6.071119 1.365110 -0.001007 -0.000420 0.001533 0.263354 0.964698 65
99.491000 6.136211 1.414575 -0.001008 -0.000600 0.001475 0.375192 0.926946 66
100.501000 6.180184 1.466798 -0.001008 -0.000745 0.001406 0.467345 0.884074 67
101.501000 6.212765 1.526580 -0.001008 -0.000881 0.001325 0.552791 0.833318 68
102.702000 6.235403 1.605071 -0.001008 -0.001033 0.001211 0.648078 0.761572 69
103.901000 6.239209 1.637041 -0.001008 -0.001079 0.001169 0.677518 0.735504 70
104.901000 6.239195 1.636870 -0.001008 -0.001078 0.001169 0.677455 0.735563 71
105.901000 6.239181 1.636698 -0.001008 -0.001078 0.001169 0.677389 0.735623 72
106.903000 6.239248 1.637290 -0.001008 -0.001026 0.001215 0.644900 0.764266 73
107.903000 6.240571 1.641561 -0.001008 -0.000908 0.001307 0.569489 0.821997 74
